"id","url","title","content_status","last_error","attempts","next_attempt_at"
"41003","https://www.bloomberg.com/news/articles/2026-09-14/upcoming-apple-products-what-to-expect-in-late-2026-and-early-2027","Upcoming Apple Products: What to Expect in Late 2026 and Early 2027","unavailable","http_403","1","2026-09-14 22:26:36.112642+00"
"41004","https://www.bloomberg.com/news/articles/2026-09-14/bce-to-expand-data-center-capacity-in-saskatchewan","BCE to Expand Data Center Capacity in Saskatchewan","unavailable","http_403","1","2026-09-14 22:26:57.464749+00"
"41005","https://www.bloomberg.com/news/articles/2026-09-14/accenture-settles-with-justice-department-over-dei-policies","Accenture Settles With Justice Department Over DEI Policies","unavailable","http_403","1","2026-09-14 22:27:17.275853+00"
"41006","https://www.bloomberg.com/news/articles/2026-09-14/are-we-losing-control-of-ai-what-s-driving-new-fears","Are We Losing Control of AI? What’s Driving New Fears","unavailable","http_403","1","2026-09-14 22:27:35.282758+00"
"41007","https://www.bloomberg.com/news/videos/2026-09-14/ai-bosses-risk-clash-with-trump-over-innovation-safety-video","AI Bosses Risk Clash With Trump Over Innovation, Safety","unavailable","http_403","1","2026-09-14 22:27:53.822027+00"
"41009","https://www.bloomberg.com/news/articles/2026-09-14/german-banks-say-renewable-reform-to-jeopardize-green-projects","German Banks Say Renewable Reform to Jeopardize Green Projects","unavailable","http_403","1","2026-09-14 22:28:11.018775+00"
"41010","https://www.bloomberg.com/news/videos/2026-09-14/cohere-ceo-warns-against-an-ai-safety-cartel-video","Cohere CEO Warns Against an AI Safety ‘Cartel’","unavailable","http_403","1","2026-09-14 22:28:28.469937+00"
"41011","https://www.bloomberg.com/news/videos/2026-09-14/bloomberg-tech-9-14-2026-video","AI’s Frontier Faces Calls for Safety Slowdown","unavailable","http_403","1","2026-09-14 22:28:45.917974+00"
"41012","https://www.bloomberg.com/news/videos/2026-09-14/ai-needs-a-full-stop-not-a-slowdown-parmy-olson-video","AI Needs a Full Stop, Not a Slowdown: Parmy Olson","unavailable","http_403","1","2026-09-14 22:29:03.128387+00"
"41013","https://www.bloomberg.com/news/videos/2026-09-14/can-independent-testing-make-ai-safer-video","Can Independent Testing Make AI Safer?","unavailable","http_403","1","2026-09-14 22:29:20.567765+00"
"41014","https://www.bloomberg.com/news/videos/2026-09-14/ai-leaders-debate-slowing-the-frontier-video","AI Leaders Debate Slowing the Frontier","unavailable","http_403","1","2026-09-14 22:29:38.090376+00"
"41015","https://www.bloomberg.com/news/videos/2026-09-14/roblox-ceo-ai-will-create-more-game-makers-video","Roblox CEO: AI Will Create More Game Makers","unavailable","http_403","1","2026-09-14 22:29:55.346335+00"
